record_type,enum_type,value,priority,sources,encodings,offsets,categories
enum_value,CubeGridToolLocals,FCornerModeExtrudeAmountChange,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc8dc9c0,creature
enum_value,EActorListsBP,AL_ACTIVE_WILD_NONWATER_DINOS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb496618,creature
enum_value,EActorListsBP,AL_ACTIVE_WILD_WATER_DINOS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4965e8,creature
enum_value,EActorListsBP,AL_PLAYERCONTROLLERS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495980,player
enum_value,EActorListsBP,AL_PLAYERS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495f58,player
enum_value,EActorListsBP,AL_PLAYERSTATES,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495f38,player
enum_value,EActorListsBP,AL_PLAYER_STARTS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495b38,player
enum_value,EActorListsBP,AL_TAMED_DINOS,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495ce8,creature
enum_value,EAimAssistType,RangeWeaponAlwaysOn,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23b2a8,item
enum_value,EAnimAlphaInputType,Bool,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6d6e10,creature
enum_value,EAnimAlphaInputType,Curve,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6d6e30,creature
enum_value,EAnimAlphaInputType,Float,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb6d6df0,creature
enum_value,EAudioOutputTarget,Controller,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495e70,player
enum_value,EAudioOutputTarget,ControllerFallbackToSpeaker,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb495e40,player
enum_value,EAutoReceiveInput,Player0,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd5f0,player
enum_value,EAutoReceiveInput,Player1,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd650,player
enum_value,EAutoReceiveInput,Player2,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd630,player
enum_value,EAutoReceiveInput,Player3,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd590,player
enum_value,EAutoReceiveInput,Player4,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd570,player
enum_value,EAutoReceiveInput,Player5,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd5d0,player
enum_value,EAutoReceiveInput,Player6,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd5b0,player
enum_value,EAutoReceiveInput,Player7,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb4cd518,player
enum_value,EBabyCuddleType,FOOD,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb5530,creature
enum_value,EBabyCuddleType,MAX,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb5508,creature
enum_value,EBabyCuddleType,PET,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb5580,creature
enum_value,EBabyCuddleType,Type,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb54c8,creature
enum_value,EBabyCuddleType,WALK,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb5548,creature
enum_value,EBiomeZone,Mountain,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbe1ed68,creature
enum_value,EBlendStack_BlendspaceUpdateMode,InitialOnly,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca4f318,item
enum_value,EBlendStack_BlendspaceUpdateMode,UpdateActiveOnly,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca4f2e0,item
enum_value,EBlendStack_BlendspaceUpdateMode,UpdateAll,low,ArkAscended.exe,ascii,ArkAscended.exe:0xca4f370,item
enum_value,EBossDinoType,Boss,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb6678,creature
enum_value,EBossDinoType,Minion,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb66a8,creature
enum_value,EBossDinoType,MinorBoss,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb6658,creature
enum_value,EBossDinoType,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfb6690,creature
enum_value,ECFCoreCarouselItemDestinationType,Mod,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbbaeff8,item
enum_value,ECFCoreCarouselItemDestinationType,None,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbbaefc8,item
enum_value,ECFCoreCarouselItemDestinationType,ThemePage,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbbaef70,item
enum_value,ECFCoreCarouselItemLayout,Default,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbbaf0b0,item
enum_value,ECFCoreCarouselItemLayout,SaleView,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbbaf020,item
enum_value,ECFCoreCarouselItemLayout,SmallSaleView,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbbaf048,item
enum_value,ECameraBlendStackType,AdditivePersistent,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd9b778,item
enum_value,ECameraBlendStackType,IsolatedTransient,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbd9b748,item
enum_value,EChatSendMode,GlobalTribeChat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23d4b0,player
enum_value,EChatType,GlobalTribeChat,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc23cfc0,player
enum_value,ECheatActorType,Dino,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc176468,creature
enum_value,ECheatActorType,Player,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc176480,player
enum_value,ECheatActorType,Tame,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc176498,creature
enum_value,ECheatActorType,Wild,low,ArkAscended.exe,ascii,ArkAscended.exe:0xc1764b0,creature
enum_value,EClimbingAnimationType,OpenInventory,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfa59a8,item
enum_value,EClimbingAnimationType,OpenInventoryHanging,low,ArkAscended.exe,ascii,ArkAscended.exe:0xbfa5d90,item
