record_type,enum_type,value,priority,sources,encodings,offsets
enum_value,A,Y,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x522d8f20
enum_value,A,_,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x3f5334b2
enum_value,A,aPXT,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x28b58f08
enum_value,A,d,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x2b938011
enum_value,A,m,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x53961788
enum_value,A,o,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x1d94fa04
enum_value,A,u,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0xd83fbff;pakchunk0-Windows.pak:0x35e3fbff
enum_value,A,um,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x557a5f9b
enum_value,AActor,PrimaryActorTick,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xb67b000
enum_value,ACLVisualFidelity,Highest,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb6d240
enum_value,ACLVisualFidelity,Lowest,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb6d280
enum_value,ACLVisualFidelity,Medium,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb6d260
enum_value,ACLVisualFidelityChangeResult,Completed,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb6d1e8
enum_value,ACLVisualFidelityChangeResult,Dispatched,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb6d1b8
enum_value,ACLVisualFidelityChangeResult,Failed,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb6d218
enum_value,AGameplayAbilityTargetActor_Trace,PerformTrace,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xcaaaa40
enum_value,ALandscapeProxy,GetLandscapeActor,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xb2e73a0
enum_value,AN,Rw,low,pakchunk0-Windows.pak,ascii,pakchunk0-Windows.pak:0x592506b7
enum_value,ANavigationData,BatchProjectPoints,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a8a0
enum_value,ANavigationData,BatchRaycast,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a658
enum_value,ANavigationData,CalcPathCost,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a7e0
enum_value,ANavigationData,CalcPathLength,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a820
enum_value,ANavigationData,CalcPathLengthAndCost,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5ac10
enum_value,ANavigationData,DoesNodeContainLocation,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5ac60
enum_value,ANavigationData,FindMoveAlongSurface,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a580
enum_value,ANavigationData,FindOverlappingEdges,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a5d0
enum_value,ANavigationData,GetBounds,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a620
enum_value,ANavigationData,GetPathSegmentBoundaryEdges,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a9d0
enum_value,ANavigationData,GetRandomPoint,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5aa30
enum_value,ANavigationData,GetRandomPointInNavigableRadius,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a960
enum_value,ANavigationData,GetRandomReachablePointInMinMaxRadius,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5ab20
enum_value,ANavigationData,GetRandomReachablePointInRadius,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a8f0
enum_value,ANavigationData,GetRandomReachablePointInRadiusAroundLocation,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5ab90
enum_value,ANavigationData,ProjectPoint,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xbc5a860
enum_value,ANavigationDataChunkActor,BeginPlay,low,ArkAscended.exe,ascii,ArkAscended.exe:0xba0d078
enum_value,ANavigationDataChunkActor,EndPlay,low,ArkAscended.exe,ascii,ArkAscended.exe:0xba0d050
enum_value,AShooterCharacter,PostUpdateTick,low,ArkAscended.exe,utf16le,ArkAscended.exe:0xc366450
enum_value,ASmartObjectPersistentCollection,Destroyed,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb32130
enum_value,ASmartObjectPersistentCollection,EndPlay,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb32100
enum_value,ASmartObjectPersistentCollection,PostActorCreated,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb320c8
enum_value,ASmartObjectPersistentCollection,PostUnregisterAllComponents,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb31cd0
enum_value,ASmartObjectPersistentCollection,PreRegisterAllComponents,low,ArkAscended.exe,ascii,ArkAscended.exe:0xcb31d10
enum_value,AnimPhysAngularConstraintType,Angular,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb3572c0
enum_value,AnimPhysAngularConstraintType,Cone,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb357498
enum_value,AnimPhysCollisionType,CoM,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487ea8
enum_value,AnimPhysCollisionType,CustomSphere,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487e80
enum_value,AnimPhysCollisionType,InnerSphere,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487dd0
enum_value,AnimPhysCollisionType,OuterSphere,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb487da8
enum_value,AnimPhysLinearConstraintType,Free,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb357410
enum_value,AnimPhysLinearConstraintType,Limited,low,ArkAscended.exe,ascii,ArkAscended.exe:0xb3573e8
