kind,mxcheatui_asset_path,blueprint_stem,class_ref_C,in_session_save_221210,session_combat_v1,e_primal_item_type_guess,game_state_enum_hooks,gaia_searchable,notes
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitBoots,PrimalItemArmor_HazardSuitBoots,PrimalItemArmor_HazardSuitBoots_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitGloves,PrimalItemArmor_HazardSuitGloves,PrimalItemArmor_HazardSuitGloves_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitHelmet,PrimalItemArmor_HazardSuitHelmet,PrimalItemArmor_HazardSuitHelmet_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitPants,PrimalItemArmor_HazardSuitPants,PrimalItemArmor_HazardSuitPants_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitShirt,PrimalItemArmor_HazardSuitShirt,PrimalItemArmor_HazardSuitShirt_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_Glider,PrimalItemArmor_Glider,PrimalItemArmor_Glider_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_ZiplineMotor,PrimalItemArmor_ZiplineMotor,PrimalItemArmor_ZiplineMotor_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItem_LampOil,PrimalItem_LampOil,PrimalItem_LampOil_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_Basilisk,PrimalItemConsumable_Egg_Basilisk,PrimalItemConsumable_Egg_Basilisk_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternBird,PrimalItemConsumable_Egg_LanternBird,PrimalItemConsumable_Egg_LanternBird_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternBird_Fertilized,PrimalItemConsumable_Egg_LanternBird_Fertilized,PrimalItemConsumable_Egg_LanternBird_Fertilized_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternLizard,PrimalItemConsumable_Egg_LanternLizard,PrimalItemConsumable_Egg_LanternLizard_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternLizard_Fertilized,PrimalItemConsumable_Egg_LanternLizard_Fertilized,PrimalItemConsumable_Egg_LanternLizard_Fertilized_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Kibble_LanternBirdEgg,PrimalItemConsumable_Kibble_LanternBirdEgg,PrimalItemConsumable_Kibble_LanternBirdEgg_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Kibble_LanternLizardEgg,PrimalItemConsumable_Kibble_LanternLizardEgg,PrimalItemConsumable_Kibble_LanternLizardEgg_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Kibble_RockDrakeEgg,PrimalItemConsumable_Kibble_RockDrakeEgg,PrimalItemConsumable_Kibble_RockDrakeEgg_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Mushroom_Aquatic,PrimalItemConsumable_Mushroom_Aquatic,PrimalItemConsumable_Mushroom_Aquatic_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Mushroom_Ascerbic,PrimalItemConsumable_Mushroom_Ascerbic,PrimalItemConsumable_Mushroom_Ascerbic_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Mushroom_Auric,PrimalItemConsumable_Mushroom_Auric,PrimalItemConsumable_Mushroom_Auric_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Soup_MushroomSoup,PrimalItemConsumable_Soup_MushroomSoup,PrimalItemConsumable_Soup_MushroomSoup_C,Y,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemResource_CommonMushroom,PrimalItemResource_CommonMushroom,PrimalItemResource_CommonMushroom_C,N,N,Resource,EPrimalItemType:Resource; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Structures/PrimalItemStructure_Furniture_Rug,PrimalItemStructure_Furniture_Rug,PrimalItemStructure_Furniture_Rug_C,Y,N,Structure,EPrimalItemType:Structure; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Trophies/PrimalItemStructure_Flag_Rockwell,PrimalItemStructure_Flag_Rockwell,PrimalItemStructure_Flag_Rockwell_C,N,N,Structure,EPrimalItemType:Structure; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Trophies/PrimalItemTrophy_Rockwell,PrimalItemTrophy_Rockwell,PrimalItemTrophy_Rockwell_C,N,N,,EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Trophies/PrimalItemTrophy_Rockwell_Beta,PrimalItemTrophy_Rockwell_Beta,PrimalItemTrophy_Rockwell_Beta_C,N,N,,EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Items/Trophies/PrimalItemTrophy_Rockwell_Beta_Alpha,PrimalItemTrophy_Rockwell_Beta_Alpha,PrimalItemTrophy_Rockwell_Beta_Alpha_C,N,N,,EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Resources/PrimalItemConsumable_NamelessVenom,PrimalItemConsumable_NamelessVenom,PrimalItemConsumable_NamelessVenom_C,N,N,Resource,EPrimalItemType:Resource; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Resources/PrimalItemResource_ApexDrop_Basilisk,PrimalItemResource_ApexDrop_Basilisk,PrimalItemResource_ApexDrop_Basilisk_C,N,N,Resource,EPrimalItemType:Resource; EPrimalMilestoneType:Craft,Y,
item,/Game/Aberration/CoreBlueprints/Resources/PrimalItemResource_ApexDrop_Basilisk_Alpha,PrimalItemResource_ApexDrop_Basilisk_Alpha,PrimalItemResource_ApexDrop_Basilisk_Alpha_C,N,N,Resource,EPrimalItemType:Resource; EPrimalMilestoneType:Craft,Y,
