kind,mxcheatui_asset_path,blueprint_stem,class_ref_C,in_session_save_221210,session_combat_v1,e_primal_item_type_guess,game_state_enum_hooks,gaia_searchable,notes,display_name,display_name_source,display_name_confidence,blueprint_path_ue,cheat_giveitem_template,cheat_spawn_dino_template,dlc_or_pack,path_category,variant_tags,e_cheat_actor_type_guess,in_session_class_ref,in_session_game_path,in_session_stem,session_match_method,session_combat_bundle_v1,tribe_log_display_name_hit,also_in_opposite_table,mxcheatui_table,mxcheatui_mod_cf,gaia_commands_mod_cf,assessment_tags,row_id
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitBoots,PrimalItemArmor_HazardSuitBoots,PrimalItemArmor_HazardSuitBoots_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Hazard Suit Boots,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitBoots.PrimalItemArmor_HazardSuitBoots,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitBoots.PrimalItemArmor_HazardSuitBoots'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor/HazardSuit,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00001
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitGloves,PrimalItemArmor_HazardSuitGloves,PrimalItemArmor_HazardSuitGloves_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Hazard Suit Gloves,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitGloves.PrimalItemArmor_HazardSuitGloves,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitGloves.PrimalItemArmor_HazardSuitGloves'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor/HazardSuit,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00002
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitHelmet,PrimalItemArmor_HazardSuitHelmet,PrimalItemArmor_HazardSuitHelmet_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Hazard Suit Helmet,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitHelmet.PrimalItemArmor_HazardSuitHelmet,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitHelmet.PrimalItemArmor_HazardSuitHelmet'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor/HazardSuit,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00003
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitPants,PrimalItemArmor_HazardSuitPants,PrimalItemArmor_HazardSuitPants_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Hazard Suit Pants,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitPants.PrimalItemArmor_HazardSuitPants,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitPants.PrimalItemArmor_HazardSuitPants'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor/HazardSuit,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00004
item,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitShirt,PrimalItemArmor_HazardSuitShirt,PrimalItemArmor_HazardSuitShirt_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Hazard Suit Shirt,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitShirt.PrimalItemArmor_HazardSuitShirt,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/HazardSuit/PrimalItemArmor_HazardSuitShirt.PrimalItemArmor_HazardSuitShirt'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor/HazardSuit,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00005
item,/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_Glider,PrimalItemArmor_Glider,PrimalItemArmor_Glider_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Glider,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_Glider.PrimalItemArmor_Glider,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_Glider.PrimalItemArmor_Glider'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00006
item,/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_ZiplineMotor,PrimalItemArmor_ZiplineMotor,PrimalItemArmor_ZiplineMotor_C,Y,N,Equipment,EPrimalItemType:Equipment; EPrimalMilestoneType:Craft,Y,,Zipline Motor,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_ZiplineMotor.PrimalItemArmor_ZiplineMotor,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Armor/PrimalItemArmor_ZiplineMotor.PrimalItemArmor_ZiplineMotor'"" 1 0 0",,Aberration,CoreBlueprints/Items/Armor,,,Y,Y,Y,class_ref+game_path+stem,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:Equipment;session_class_ref;session_game_path;session_stem;saddle_item,mx_00007
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItem_LampOil,PrimalItem_LampOil,PrimalItem_LampOil_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,,Lamp Oil,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItem_LampOil.PrimalItem_LampOil,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItem_LampOil.PrimalItem_LampOil'"" 1 0 0",,Aberration,CoreBlueprints/Items/Consumables,,,N,N,N,,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:MiscConsumable,mx_00008
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_Basilisk,PrimalItemConsumable_Egg_Basilisk,PrimalItemConsumable_Egg_Basilisk_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,,Egg Basilisk,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_Basilisk.PrimalItemConsumable_Egg_Basilisk,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_Basilisk.PrimalItemConsumable_Egg_Basilisk'"" 1 0 0",,Aberration,CoreBlueprints/Items/Consumables,,,N,N,N,,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:MiscConsumable,mx_00009
item,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternBird,PrimalItemConsumable_Egg_LanternBird,PrimalItemConsumable_Egg_LanternBird_C,N,N,MiscConsumable,EPrimalItemType:MiscConsumable; EPrimalMilestoneType:Craft,Y,,Egg Lantern Bird,derived_stem,medium,/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternBird.PrimalItemConsumable_Egg_LanternBird,"cheat giveitem ""Blueprint'/Game/Aberration/CoreBlueprints/Items/Consumables/PrimalItemConsumable_Egg_LanternBird.PrimalItemConsumable_Egg_LanternBird'"" 1 0 0",,Aberration,CoreBlueprints/Items/Consumables,,,N,N,N,,N,N,N,SpawnItemDataTable,1028139,936457,item;pack:Aberration;item_type:MiscConsumable,mx_00010
