record_type,category,value,source,encodings,offsets
exe_string,attack_aoe,.?AV<lambda_1>@?1??AttackAOE@UShooterCheatManager@@QEAAXHM@Z@,ArkAscended.exe,ascii,0xdddfc80
exe_string,attack_aoe,.?AV<lambda_1>@?1??QueueAttackAOE@UShooterCheatManager@@QEAAXHMM@Z@,ArkAscended.exe,ascii,0xdddfcd0
exe_string,attack_aoe,AttackAOE,ArkAscended.exe,ascii,0xc176608
exe_string,attack_aoe,AttackAOERadius,ArkAscended.exe,ascii,0xc11c198
exe_string,attack_aoe,QueueAttackAOE,ArkAscended.exe,ascii,0xc178238
exe_string,ce_verb,CE command '%s' wasn't processed for levels from world '%s'.,ArkAscended.exe,utf16le,0xb9cda80
exe_string,ce_verb,No level found for CE processing,ArkAscended.exe,utf16le,0xb9cda30
exe_string,ce_verb,cheat ce stoptime 1 1,ArkAscended.exe,utf16le,0xc3a3768
exe_string,cheat_manager,.?AV<lambda_1>@?1??AddThreatAOE@UShooterCheatManager@@QEAAXHM@Z@,ArkAscended.exe,ascii,0xdddfbc0
exe_string,cheat_manager,.?AV<lambda_1>@?1??AttackAOE@UShooterCheatManager@@QEAAXHM@Z@,ArkAscended.exe,ascii,0xdddfc80
exe_string,cheat_manager,.?AV<lambda_1>@?1??OneHPAOE@UShooterCheatManager@@QEAAXVFName@@MH@Z@,ArkAscended.exe,ascii,0xdddfd30
exe_string,cheat_manager,.?AV<lambda_1>@?1??QueueAttackAOE@UShooterCheatManager@@QEAAXHMM@Z@,ArkAscended.exe,ascii,0xdddfcd0
exe_string,cheat_manager,.?AV<lambda_1>@?1??SetThreatAOE@UShooterCheatManager@@QEAAXHM@Z@,ArkAscended.exe,ascii,0xdddfc20
exe_string,cheat_manager,UShooterCheatManager,ArkAscended.exe,utf16le,0xc179020
exe_string,cheat_manager,UShooterCheatManager - %s is kicking %s,ArkAscended.exe,utf16le,0xc36bfb0
exe_string,cheat_manager,UShooterCheatManager - RCON user is kicking %s,ArkAscended.exe,utf16le,0xc36b970
exe_string,cheat_manager,UShooterCheatManager::DisableAllTraceChannels,ArkAscended.exe,ascii,0xc3870a8
exe_string,cheat_manager,UShooterCheatManager::DisableTraceChannels,ArkAscended.exe,ascii,0xc3871c0
exe_string,cheat_manager,UShooterCheatManager::EnableAllTraceChannels,ArkAscended.exe,ascii,0xc387078
exe_string,cheat_manager,UShooterCheatManager::EnableTraceChannels,ArkAscended.exe,ascii,0xc387190
exe_string,cheat_manager,UShooterCheatManager::StartPerformanceRecordingInternal,ArkAscended.exe,ascii,0xc386e78
exe_string,cheat_manager,UShooterCheatManager::StopPerformanceRecording,ArkAscended.exe,ascii,0xc3870d8
exe_string,cheat_menu,ShowCheatMenu,ArkAscended.exe,ascii,0xc178bc0
exe_string,cheat_verb,Anti-Cheat integrity check failed,ArkAscended.exe,utf16le,0xbc12b90
exe_string,cheat_verb,Anti-Cheat registration failed,ArkAscended.exe,utf16le,0xbc12d18
exe_string,cheat_verb,Anti-Cheat requested session %s in %s must match current session %s!,ArkAscended.exe,utf16le,0xbc04710
exe_string,cheat_verb,CHEAT FAILURE: Invalid VolumeClassIndex Input Value %s,ArkAscended.exe,utf16le,0xc381840
exe_string,cheat_verb,CHEAT FAILURE: Must have proper permissions and a valid player character.,ArkAscended.exe,utf16le,0xc381e20
exe_string,cheat_verb,"CHEAT FAILURE: No Volumes Matching Those Parameters Could Be Found - Try Enabling bDebugAllVolumeClasses, or picking another VolumeClassIndex.",ArkAscended.exe,utf16le,0xc381960
exe_string,cheat_verb,CHEAT FAILURE: Try A Valid VolumeClassIndex Input Value Such As Index %s For Class %s,ArkAscended.exe,utf16le,0xc3818b0
exe_string,cheat_verb,CHEAT SUCCESS: added tag.,ArkAscended.exe,utf16le,0xc37eda0
exe_string,cheat_verb,Cheat Mission: No Valid Mission Found,ArkAscended.exe,utf16le,0xc367f90
exe_string,cheat_verb,Cheat SDF: This dino cannot be tamed. %s,ArkAscended.exe,utf16le,0xc3868b0
exe_string,cheat_verb,Cheat SpawnTestDinos: This dino cannot be tamed. %s,ArkAscended.exe,utf16le,0xc3a2d30
exe_string,cheat_verb,Disconnected from server due to Anti-Cheat error. Reason: '%s'. Details: '%s'.,ArkAscended.exe,utf16le,0xbc0d9c0
exe_string,cheat_verb,"Server Initializing with BattlEye Anti-Cheat Protection. If you do not wish to use BattlEye, please launch with -NoBattlEye",ArkAscended.exe,utf16le,0xc38f370
exe_string,cheat_verb,StartPerformanceRecording: Cheat invoked (default channels),ArkAscended.exe,utf16le,0xc386ce0
exe_string,cheat_verb,StartPerformanceRecordingOfChannels: Cheat invoked with Channels='%s',ArkAscended.exe,utf16le,0xc386d60
exe_string,cheat_verb,StopPerformanceRecording: Cheat invoked,ArkAscended.exe,utf16le,0xc386df0
exe_string,cheat_verb,The DeploymentId provided to the anti-cheat client helper executable does not match what was used to initialize the EOS SDK,ArkAscended.exe,utf16le,0xbbfe100
exe_string,cheat_verb,The ProductId provided to the anti-cheat client helper executable does not match what was used to initialize the EOS SDK,ArkAscended.exe,utf16le,0xbbfd540
exe_string,cheat_verb,The SandboxId provided to the anti-cheat client helper executable does not match what was used to initialize the EOS SDK,ArkAscended.exe,utf16le,0xbbfd7d0
exe_string,cheat_verb,The anti-cheat client protection is not available. Check that the game was started using the correct launcher.,ArkAscended.exe,utf16le,0xbc0e210
exe_string,cheat_verb,The current anti-cheat mode is incorrect for using this API,ArkAscended.exe,utf16le,0xbbfd700
exe_string,cheat_verb,The remote machine is not running a compatible Anti-Cheat implementation,ArkAscended.exe,utf16le,0xbc12d60
exe_string,cheat_verb,You are not permitted to ask the remote machine to prove its Anti-Cheat status via a trusted client proof,ArkAscended.exe,utf16le,0xbc12e00
exe_string,cheat_verb,cheat %s,ArkAscended.exe,utf16le,0xb9e8390
exe_string,cheat_verb,cheat GMBuff,ArkAscended.exe,utf16le,0xc3a1a20
exe_string,cheat_verb,cheat GiveArmorSet Tek 0,ArkAscended.exe,utf16le,0xc3a1a40
exe_string,cheat_verb,"cheat SetMessageOfTheDay """,ArkAscended.exe,utf16le,0xc3ff640
exe_string,cheat_verb,cheat ShowMessageOfTheDay,ArkAscended.exe,utf16le,0xc3ff608
exe_string,cheat_verb,cheat ce stoptime 1 1,ArkAscended.exe,utf16le,0xc3a3768
exe_string,cheat_verb,cheat fly,ArkAscended.exe,utf16le,0xc3a3750
exe_string,cheat_verb,"cheat giveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/Saddles/PrimalItemArmor_RexSaddle_Tek.PrimalItemArmor_RexSaddle_Tek'"" 1 0 0",ArkAscended.exe,utf16le,0xc3811c0
exe_string,cheat_verb,"cheat giveItem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/TEK/PrimalItemArmor_TekGloves.PrimalItemArmor_TekGloves'"" 1 0 0",ArkAscended.exe,utf16le,0xc379920
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/TEK/PrimalItemArmor_TekBoots.PrimalItemArmor_TekBoots'"" 1 0 0",ArkAscended.exe,utf16le,0xc379810
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/TEK/PrimalItemArmor_TekHelmet.PrimalItemArmor_TekHelmet'"" 1 0 0",ArkAscended.exe,utf16le,0xc379a30
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/TEK/PrimalItemArmor_TekPants.PrimalItemArmor_TekPants'"" 1 0 0",ArkAscended.exe,utf16le,0xc379b40
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Armor/TEK/PrimalItemArmor_TekShirt.PrimalItemArmor_TekShirt'"" 1 0 0",ArkAscended.exe,utf16le,0xc3810b0
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifactSE_01.PrimalItemArtifactSE_01'"" 1 1 0",ArkAscended.exe,utf16le,0xc377d00
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifactSE_02.PrimalItemArtifactSE_02'"" 1 1 0",ArkAscended.exe,utf16le,0xc377e10
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifactSE_03.PrimalItemArtifactSE_03'"" 1 1 0",ArkAscended.exe,utf16le,0xc377f20
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_01.PrimalItemArtifact_01'"" 1 1 0",ArkAscended.exe,utf16le,0xc37d4f0
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_02.PrimalItemArtifact_02'"" 1 1 0",ArkAscended.exe,utf16le,0xc37de10
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_03.PrimalItemArtifact_03'"" 1 1 0",ArkAscended.exe,utf16le,0xc37dd10
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_05.PrimalItemArtifact_05'"" 1 1 0",ArkAscended.exe,utf16le,0xc37d1f0
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_06.PrimalItemArtifact_06'"" 1 1 0",ArkAscended.exe,utf16le,0xc37df10
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_07.PrimalItemArtifact_07'"" 1 1 0",ArkAscended.exe,utf16le,0xc37d3f0
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_08.PrimalItemArtifact_08'"" 1 1 0",ArkAscended.exe,utf16le,0xc37dc10
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_09.PrimalItemArtifact_09'"" 1 1 0",ArkAscended.exe,utf16le,0xc37d770
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_11.PrimalItemArtifact_11'"" 1 1 0",ArkAscended.exe,utf16le,0xc37d2f0
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Artifacts/PrimalItemArtifact_12.PrimalItemArtifact_12'"" 1 1 0",ArkAscended.exe,utf16le,0xc37d670
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Structures/Misc/PrimalItemStructure_TekReplicator.PrimalItemStructure_TekReplicator'"" 1 0 0",ArkAscended.exe,utf16le,0xc381400
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Structures/Misc/PrimalItemStructure_TekShield.PrimalItemStructure_TekShield'"" 1 0 0",ArkAscended.exe,utf16le,0xc37ae20
exe_string,cheat_verb,"cheat giveitem ""Blueprint'/Game/PrimalEarth/CoreBlueprints/Items/Structures/Misc/PrimalItemStructure_TekTransmitter.PrimalItemStructure_TekTransmitter'"" 1 0 0",ArkAscended.exe,utf16le,0xc380e30
