record_type,category,value,source,encodings,offsets
exe_string,actor_tracking,ActorTrackingPOIAlphaOffScreen,ArkAscended.exe,ascii,0xc1e4210
exe_string,actor_tracking,ActorTrackingPOIAlphaOnScreen,ArkAscended.exe,ascii,0xc1e41d0
exe_string,actor_tracking,ActorTrackingPOIDistanceToScreenCenterForTransparency,ArkAscended.exe,ascii,0xc1e4288
exe_string,actor_tracking,ActorTrackingPOIScaleOffScreen,ArkAscended.exe,ascii,0xc1e4230
exe_string,actor_tracking,ActorTrackingPOIScaleOnScreen,ArkAscended.exe,ascii,0xc1e41f0
exe_string,actor_tracking,ActorTracking_TempTrackActorsNotYetSyncedAtAll,ArkAscended.exe,ascii,0xc1e3f68
exe_string,actor_tracking,ActorTracking_TempTrackPOIVisibleState_Creatures,ArkAscended.exe,ascii,0xc1e3e30
exe_string,actor_tracking,ActorTracking_TempTrackPOIVisibleState_Creatures_Key,ArkAscended.exe,ascii,0xc1e3e68
exe_string,actor_tracking,ActorTracking_TempTrackPOIVisibleState_Players,ArkAscended.exe,ascii,0xc1e3f00
exe_string,actor_tracking,ActorTracking_TempTrackPOIVisibleState_Players_Key,ArkAscended.exe,ascii,0xc1e3f30
exe_string,actor_tracking,ActorTracking_TempTrack_TrackState_Creatures,ArkAscended.exe,ascii,0xc1e3dc8
exe_string,actor_tracking,ActorTracking_TempTrack_TrackState_Creatures_Key,ArkAscended.exe,ascii,0xc1e3df8
exe_string,actor_tracking,ActorTracking_TempTrack_TrackState_Players,ArkAscended.exe,ascii,0xc1e3ea0
exe_string,actor_tracking,ActorTracking_TempTrack_TrackState_Players_Key,ArkAscended.exe,ascii,0xc1e3ed0
exe_string,actor_tracking,CustomActorTracking_DisplayedResultsCount,ArkAscended.exe,ascii,0xc1e35c8
exe_string,actor_tracking,CustomActorTracking_HasJustChangedDinoGroup,ArkAscended.exe,ascii,0xc1e36f0
exe_string,actor_tracking,CustomActorTracking_HasJustChangedSearchText,ArkAscended.exe,ascii,0xc1e3720
exe_string,actor_tracking,CustomActorTracking_HasJustChangedSelectionType,ArkAscended.exe,ascii,0xc1e36c0
exe_string,actor_tracking,CustomActorTracking_LastSavedCustomTameSearchText,ArkAscended.exe,ascii,0xc1e3658
exe_string,actor_tracking,CustomActorTracking_LastSavedCustomTameSelectionType,ArkAscended.exe,ascii,0xc1e35f8
exe_string,actor_tracking,CustomActorTracking_LastSavedDinoGroup,ArkAscended.exe,ascii,0xc1e3630
exe_string,actor_tracking,CustomActorTracking_LastSavedScrollbarIndex,ArkAscended.exe,ascii,0xc1e3690
exe_string,actor_tracking,CustomActorTracking_MaxAllowedFavoritedActors,ArkAscended.exe,ascii,0xc1e3460
exe_string,actor_tracking,CustomActorTracking_MaxAllowedWaypointTrackedActors,ArkAscended.exe,ascii,0xc1e3490
exe_string,actor_tracking,DesiredDistanceForActorTrackingPOILoweredTransparency,ArkAscended.exe,ascii,0xc1e4250
exe_string,actor_tracking,SetCustomActorTracking_LastSavedCustomTameSearchText,ArkAscended.exe,ascii,0xc1e14b0
exe_string,actor_tracking,SetCustomActorTracking_LastSavedCustomTameSelectionType,ArkAscended.exe,ascii,0xc1e14e8
exe_string,actor_tracking,SetCustomActorTracking_LastSavedDinoGroup,ArkAscended.exe,ascii,0xc1e1520
exe_string,actor_tracking,SetCustomActorTracking_LastSavedScrollbarIndex,ArkAscended.exe,ascii,0xc1e1550
exe_string,admin_moderation,AShooterPlayerController::ServerBanPlayer - %s is banning %s,ArkAscended.exe,utf16le,0xc3a1e60
exe_string,admin_moderation,AShooterPlayerController::ServerKickPlayer - %s is kicking %s,ArkAscended.exe,utf16le,0xc3a1de0
exe_string,admin_moderation,ServerBanPlayer,ArkAscended.exe,ascii;utf16le,0xc1dd188;0xc1dd168
exe_string,admin_moderation,ServerKickPlayer,ArkAscended.exe,ascii;utf16le,0xc1df188;0xc1df160
